Game,TCP,UDP,
Last Year: The Nightmare Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LawBreakers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Layers of Fear Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Layers of Fear Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Layers of Fear Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lazy Galaxy Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lazy Galaxy: Rebel Story Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lazy Galaxy: Rebel Story Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Lazy Galaxy: Rebel Story Xbox One,3074,"88, 500, 3074, 3544, 4500",
LDC++,User Specified Ports,User Specified Ports,
Le Tour de France: Season 2018 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Le Tour de France: Season 2018 Xbox One,3074,"88, 500, 3074, 3544, 4500",
League of Evil,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
League of Evil Playstation 4,"1935, 3478-3480","3074, 3478-3479",
League of Evil Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
League of Evil Xbox One,3074,"88, 500, 3074, 3544, 4500",
League of Legends,"2099, 5222-5223, 8088, 8393-8400","5000-5500, 8088",
Left 4 Dead Xbox 360,3074,3074,
Left 4 Dead,27014-27050,"4380, 27000-27030",
Left 4 Dead 2,27014-27050,"4380, 27000-27030",
Left 4 Dead 2 Xbox 360,3074,3074,
Left Alive Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Left Alive Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Legacy of Dorn: Herald of Oblivion Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Legasista Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Legend of Long Night,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Legend of Raven Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Legend of Raven Xbox One,3074,"88, 500, 3074, 3544, 4500",
Legendary Xbox 360,3074,"88, 3074",
Legendary Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Legendary Eleven Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Legendary Eleven Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Legendary Eleven Xbox One,3074,"88, 500, 3074, 3544, 4500",
Legends of Catalonia: The Land of Barcelona Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Legends of Wrestlemania Xbox 360,3074,3074,
Legends of Wrestlemania Playstation 3,5223,"5223, 3478, 3479, 3658",
LEGO Batman 2: DC Super Heroes,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Batman 2: DC Super Heroes Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Batman 2: DC Super Heroes Xbox 360,3074,"88, 3074",
LEGO Batman 3: Beyond Gotham,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Batman 3: Beyond Gotham Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Batman 3: Beyond Gotham Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Batman 3: Beyond Gotham Xbox 360,3074,"88, 3074",
LEGO Batman 3: Beyond Gotham Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Batman: The Videogame Xbox 360,3074,"88, 3074",
LEGO Batman: The Videogame Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Batman: The Videogame,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO City: Undercover,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO City: Undercover Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO City: Undercover Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO City: Undercover Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO DC Super-Villains Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO DC Super-Villains Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO DC Super-Villains Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO DC Super-Villains Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Dimensions Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Dimensions Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Dimensions Xbox 360,3074,"88, 3074",
LEGO Dimensions Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Harry Potter Collection Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Harry Potter Collection Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO Harry Potter Collection Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Harry Potter: Years 1-4 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Harry Potter: Years 1-4 Xbox 360,3074,"88, 3074",
LEGO Harry Potter: Years 1-4 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Harry Potter: Years 5-7 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Harry Potter: Years 5-7 Xbox 360,3074,"88, 3074",
LEGO Harry Potter: Years 5-7 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Indiana Jones 2: The Adventure Continues,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Indiana Jones 2: The Adventure Continues Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Indiana Jones 2: The Adventure Continues Xbox 360,3074,"88, 3074",
LEGO Indiana Jones: The Original Adventures Xbox 360,3074,"88, 3074",
LEGO Indiana Jones: The Original Adventures Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Indiana Jones: The Original Adventures,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Jurassic World,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Jurassic World Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Jurassic World Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Jurassic World Xbox 360,3074,"88, 3074",
LEGO Jurassic World Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Marvel Super Heroes,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Marvel Super Heroes Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Marvel Super Heroes Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Marvel Super Heroes Xbox 360,3074,"88, 3074",
LEGO Marvel Super Heroes Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Marvel Super Heroes 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Marvel Super Heroes 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Marvel Super Heroes 2 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO Marvel Super Heroes 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Marvel's Avengers,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Marvel's Avengers Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Marvel's Avengers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Marvel's Avengers Xbox 360,3074,"88, 3074",
LEGO Marvel's Avengers Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO Pirates of the Caribbean: The Video Game Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Pirates of the Caribbean: The Video Game Xbox 360,3074,"88, 3074",
LEGO Rock Band Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Rock Band Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO Rock Band Xbox 360,3074,"88, 3074",
LEGO Star Wars II: The Original Trilogy Xbox 360,3074,"88, 3074",
LEGO Star Wars III: The Clone Wars,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Star Wars III: The Clone Wars Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Star Wars III: The Clone Wars Xbox 360,3074,"88, 3074",
LEGO Star Wars: The Complete Saga Xbox 360,3074,"88, 3074",
LEGO Star Wars: The Complete Saga Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Star Wars: The Complete Saga,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Star Wars: The Force Awakens,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Star Wars: The Force Awakens Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO Star Wars: The Force Awakens Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Star Wars: The Force Awakens Xbox 360,3074,"88, 3074",
LEGO Star Wars: The Force Awakens Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO The Hobbit,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO The Hobbit Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO The Hobbit Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO The Hobbit Xbox 360,3074,"88, 3074",
LEGO The Hobbit Xbox One,3074,"88, 500, 3074, 3544, 4500",
LEGO The Lord of the Rings Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LEGO The Lord of the Rings Xbox 360,3074,"88, 3074",
LEGO Universe,"80, 443","1001, 2001-2200",
LEGO Worlds,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LEGO Worlds Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LEGO Worlds Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
LEGO Worlds Xbox One,3074,"88, 500, 3074, 3544, 4500",
Leisure Suit Larry: Box Office Bust Xbox 360,3074,"88, 3074",
Leisure Suit Larry: Box Office Bust Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lemmings Playstation 3,5223,"5223, 3478, 3479, 3658",
Lenna's Inception Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Let It Die Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Let It Die,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lethal League Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lethal League Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lethal League Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lethal League Blaze Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lethal League Blaze Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lethal League Blaze Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Lethal League Blaze Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lethal VR Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lethal VR Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LevelOne WCS-2060,"80, 5556, 5558","80, 5556, 5558",
Lichdom: Battlemage Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lichdom: Battlemage Xbox One,3074,"88, 500, 3074, 3544, 4500",
LieroXtreme,23400,23400,
Life is Feudal: Your Own,28000-28002,28000-28002,
Life Is Strange Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Life Is Strange Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Life Is Strange Xbox 360,3074,"88, 3074",
Life Is Strange Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Life Is Strange Xbox One,3074,"88, 500, 3074, 3544, 4500",
Life Is Strange 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Life Is Strange 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Life Is Strange 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Life Is Strange: Before the Storm Xbox One,3074,"88, 500, 3074, 3544, 4500",
Life Is Strange: Before the Storm Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Life Is Strange: Before the Storm Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lightning Returns: Final Fantasy XIII Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lightning Returns: Final Fantasy XIII Xbox 360,3074,"88, 3074",
Lightning Returns: Final Fantasy XIII Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lightwave Link Automation,"69, 2003, 2011, 2013",,
Lightwave Link Plus Automation,"69, 2003, 2011, 2013",,
LILIN DVR-204,"80, 8000, 9000",,
LILIN DVR-208,"80, 8000, 9000",,
Limbo Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Limbo Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Limbo Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Limbo Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Limbo Xbox 360,3074,"88, 3074",
Limbo Xbox One,3074,"88, 500, 3074, 3544, 4500",
Limewire,User Specified Ports,User Specified Ports,
Lineage,"2000, 2003",,
Lineage II,"80, 2106, 2009, 7777",53,
Linger In-Shadow Playstation 3,5223,"5223, 3478, 3479, 3658",
Lingo VoIP,"1024-1030, 5060-5065, 10000-20000",,
Links,"2300-2400, 47624","2300-2400, 6073",
Linksys WVC54GCA,"80, 1024","80, 1024",
Linksys WVC80N,"80, 1024","80, 1024",
Lips Xbox 360,3074,3074,
Little Dragons Cafe Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Little Dragons Cafe Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Little Dragons Cafe Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Little Gamers Xbox 360,3074,3074,
Little Witch Academia: Chamber of Time Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Little Witch Academia: Chamber of Time Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LittleBigPlanet Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LittleBigPlanet 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LittleBigPlanet 3 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LittleBigPlanet 3 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
LittleBigPlanet Karting Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
LittleBigPlanet: Sackboy's Prehistoric Moves Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Live For Speed Server,"29339, 63392","29339, 63392",
LIVvE,8999,,
LMA Manager 2006 Xbox 360,3074,3074,
LMA Manager 2007 Xbox 360,3074,3074,
Loading Human: Chapter 1 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Loadout,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Loadout Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
LocationFree,5021,,
Lock On,10308,10308,
Lock On Modern Air Combat,10308,,
Lock On Modern Air Combat Ubi.com,"80, 6667, 10308, 40000-42000",,
Lock's Quest Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lock's Quest Xbox One,3074,"88, 500, 3074, 3544, 4500",
LocoCycle Xbox One,3074,"88, 500, 3074, 3544, 4500",
LocoCycle Xbox 360,3074,"88, 3074",
LocoCycle Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
LocoRoco Cocoreccho! Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lode Runner Xbox 360,3074,"88, 3074",
Loftek CXS2200,80,80,
Loftek Sentinel D2,80,80,
LogMeIn Hamachi2,"12975, 32976",17771,
Looney Tunes Acme Arsenal Xbox 360,3074,3074,
Lord of Rigel Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lords of the Fallen,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lords of the Fallen Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lords of the Fallen Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lorex IP Surveillance,80,,
Lorex LH300,80,,
Lorex LH304,80,,
Lorex LH310,80,,
Lorex LH320,80,,
Loria Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Artifacts Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Artifacts: Golden Island Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Artifacts: Soulstone Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Artifacts: Soulstone Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lost Artifacts: Time Machine Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Cities Xbox 360,3074,"88, 3074",
Lost Dimension,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Dimension Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lost Odyssey Xbox 360,3074,"88, 3074",
Lost Planet 2,3074,"88, 3074",
Lost Planet 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lost Planet 2 Xbox 360,3074,"88, 3074",
Lost Planet 3,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Planet 3 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lost Planet 3 Xbox 360,3074,"88, 3074",
Lost Planet: Extreme Condition,"27015-27030, 27036-27037","3075, 4380, 27000-27031, 27036",
Lost Planet: Extreme Condition Xbox 360,3074,"88, 3074",
Lost Planet: Extreme Condition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lost Sphear Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lost Sphear Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lost Sphear Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Lost Via Domus Xbox 360,3074,3074,
Lost Via Domus Playstation 3,5223,"5223, 3478, 3479, 3658",
Lotus Notes,1352,1352,
Love Football Xbox 360,3074,3074,
lphant,User Specified Ports,User Specified Ports,
LT Security LTD2308,"80, 2000","80, 2000",
LT Security LTD2316,"80, 2000","80, 2000",
LT Security LTD8308T-FT,"80, 8000, 8554","80, 8000, 8554",
Lucah: Born of a Dream Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lucky Night: Poker Games,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Luigi's Mansion 3 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Lumines Live! Xbox 360,3074,"88, 3074",
Lumines Remastered Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Lumines Remastered Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lumines Remastered Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Lumines Remastered Xbox One,3074,"88, 500, 3074, 3544, 4500",
Lumines Supernova Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Lust for Darkness Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Lux Alliance,"3319, 6619","3319, 6619",
Luxor 2 Xbox 360,3074,3074,
M E C H A N I S M,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Machinarium Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Machinarium Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Machinarium Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Machinarium Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mad Machines Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Mad Tracks Xbox 360,3074,3074,
Madagascar 3: The Video Game Xbox 360,3074,"88, 3074",
Madagascar 3: The Video Game Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Madagascar: Escape 2 Africa Xbox 360,3074,"88, 3074",
Madagascar: Escape 2 Africa Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Madagascar: Escape 2 Africa Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Madden NFL 06 Xbox 360,3074,3074,
Madden NFL 07,"1795, 1797",,
Madden NFL 07 Xbox 360,3074,3074,
Madden NFL 07 Playstation 3,5223,"5223, 3478, 3479, 3658",
Madden NFL 08 Xbox 360,3074,3074,
Madden NFL 08 Playstation 3,5223,"5223, 3478, 3479, 3658",
Madden NFL 08,"1795, 1797, 3658, 9570",,
Madden NFL 09 Xbox 360,3074,3074,
Madden NFL 09 Playstation 3,5223,"5223, 3478, 3479, 3658",
Madden NFL 10 Xbox 360,3074,3074,
Madden NFL 10 Playstation 3,5223,"5223, 3478-3479, 3658",
Madden NFL 11 Playstation 3,5223,"5223, 3478, 3479, 3658",
Madden NFL 11 Xbox 360,3074,3074,
Madden NFL 12 Playstation 3,5223,"5223, 3478, 3479, 3658",
Madden NFL 12 Xbox 360,3074,3074,
Madden NFL 13 Xbox 360,3074,3074,
Madden NFL 13 Playstation 3,"5223, 10070-10080","5223, 3478-3479, 3658, 10070",
Madden NFL 15 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Madden NFL 15 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Madden NFL 15 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Madden NFL 15 Xbox 360,3074,"88, 3074",
Madden NFL 16 Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Madden NFL 16 Playstation 4,"80, 443, 465, 983, 1935, 3478-3480, 5223, 10070-10080","3478-3479, 3658, 10070",
Madden NFL 16 Xbox 360,3074,3074,
Madden NFL 16 Playstation 3,"80, 443, 465, 983, 5223, 10070-10080","3478-3479, 3658, 5223, 10070",
Madden NFL 18 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Madden NFL 18 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Madden NFL 19 Playstation 4,"983, 1935, 3478-3480, 5223, 10070-10080","3074, 3478-3479, 3658, 10070",
Madden NFL 19 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Madden NFL 2005,13505,"1795, 1797, 3658, 6000",
Madden NFL 2006,"1795, 1797",,
Madden NFL 25 Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Madden NFL 25 Playstation 4,"80, 443, 465, 983, 1935, 3478-3480, 5223, 10070-10080","3478-3479, 3658, 10070",
Madden NFL 25 Xbox 360,3074,3074,
Madden NFL 25 Playstation 3,5223,"5223, 3478-3479, 3658",
MadWorld Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mafia II Xbox 360,3074,3074,
Mafia II Playstation 3,5223,"5223, 3478, 3479, 3658",
MAG Playstation 3,5223,"5223, 3478, 3479, 3658",
Mage Knight: Apocalypse,28900,6500,
Mages of Mystralia Xbox One,3074,"88, 500, 3074, 3544, 4500",
Mages of Mystralia Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Magic - The Gathering Online,"7730, 7770",,
Magic 2014 - Duels of the Planeswalkers,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Magic 2014 - Duels of the Planeswalkers Playstation 3,5223,"5223, 3478-3479, 3658",
Magic 2014 - Duels of the Planeswalkers Xbox 360,3074,3074,
Magic 2015 - Duels of the Planeswalkers,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Magic 2015 - Duels of the Planeswalkers Xbox 360,3074,3074,
Magic 2015 - Duels of the Planeswalkers Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Magic Ball Playstation 3,5223,"5223, 3478, 3479, 3658",
Magic The Gathering - Duels of the Planeswalkers Playstation 3,5223,"5223, 3478-3479, 3658",
Magic The Gathering - Duels of the Planeswalkers Xbox 360,3074,3074,
Magic The Gathering - Duels of the Planeswalkers 2012,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Magic The Gathering - Duels of the Planeswalkers 2012 Playstation 3,5223,"5223, 3478-3479, 3658",
Magic The Gathering - Duels of the Planeswalkers 2012 Xbox 360,3074,3074,
Magic The Gathering - Duels of the Planeswalkers 2013,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Magic The Gathering - Duels of the Planeswalkers 2013 Playstation 3,5223,"5223, 3478-3479, 3658",
Magic: The Gathering - Duels of the Planeswalkers 2013 Xbox 360,3074,3074,
Magicjack,"5060, 5070",,
Magicka,"7331, 27016","7331, 27016",
Magna Carta 2 Xbox 360,3074,3074,
Mahjong Fight Club: Zenkoku Taisenban Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Mahjong Oh Playstation 3,5223,"5223, 3478, 3479, 3658",
Mahjong Taikai IV Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Mahjong Tales Ancient Wisdom Playstation 3,5223,"5223, 3478, 3479, 3658",
Maia Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Mainichi Issho Playstation 3,5223,"5223, 3478, 3479, 3658",
Major League Baseball 2K10,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Major League Baseball 2K10 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K10 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Major League Baseball 2K10 Xbox 360,3074,"88, 3074",
Major League Baseball 2K11,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Major League Baseball 2K11 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K11 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Major League Baseball 2K11 Xbox 360,3074,"88, 3074",
Major League Baseball 2K12,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Major League Baseball 2K12 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K12 Xbox 360,3074,"88, 3074",
Major League Baseball 2K13 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K13 Xbox 360,3074,"88, 3074",
Major League Baseball 2K6 Xbox 360,3074,"88, 3074",
Major League Baseball 2K7 Xbox 360,3074,"88, 3074",
Major League Baseball 2K7 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K8 Xbox 360,3074,"88, 3074",
Major League Baseball 2K8 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K8 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Major League Baseball 2K9 Xbox 360,3074,"88, 3074",
Major League Baseball 2K9 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Major League Baseball 2K9,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Major League Baseball 2K9 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Man O' War: Corsair - Warhammer Naval Battles Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Marathon Durandal Xbox 360,3074,3074,
Marble Blast Ultra Xbox 360,3074,3074,
Mario & Sonic at the London 2012 Olympic Games Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario & Sonic at the Olympic Games Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario & Sonic at the Olympic Winter Games Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario + Rabbids: Kingdom Battle Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario Kart 8 Deluxe Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario Power Tennis Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Mario Sports Mix Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
